"","hhid","prov","male","age","edu","marriage","edu_par","risk_aver","risk_p","rate_p","inf_p","risk_div","knowledge","finnews","house","project","stock","fund","bond","finmag","deriv","gold","nonrmb","fin_asset","risk_asset","risk_asset_per","stock_per","fin_market","stock_v","bond_v","fund_v","finmag_v","deriv_v","gold_v","nonrmb_v","cash","save","deposit","total_income","rural","industry","pension","busi_pe"
"1","2013009176","上海市",1,60,3,2,0,3,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,10.381955260194,0,NA,1,0
"2","2013011392","浙江省",1,54,3,2,0,5,NA,0,1,1,2,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,3000,5000,0,10.7125827528067,1,NA,1,0
"3","2017000078","浙江省",1,54,1,1,1,6,1,NA,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.65917136766606,1,NA,1,0
"4","2015012333","江苏省",1,60,2,2,0,5,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,21500,0,0,0,0,0,0,0,0,0,0,0,1500,20000,0,11.6088718060174,0,7777,1,0
"5","2013011364","浙江省",1,44,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534,0,0,0,0,0,0,0,0,0,0,0,1534,0,0,12.0507921610473,0,NA,1,0
"6","2013009595","江苏省",1,32,3,2,0,5,NA,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,200,1000,0,6.06726751052348,1,7,0,0
"7","2017000115","浙江省",0,84,4,2,0,6,1,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,3812,0,0,0,0,0,0,0,0,0,0,0,3812,0,0,10.8589989975636,0,NA,1,0
"8","2017000138","上海市",1,62,3,2,0,5,1,NA,NA,1,2,1,0,0,0,0,0,0,0,0,0,63000,0,0,0,0,0,0,0,0,0,0,0,3000,0,60000,11.0946790224973,0,NA,1,0
"9","2017000144","上海市",0,51,6,2,0,3,1,NA,NA,0,1,2,0,0,0,0,0,0,0,0,0,49444,0,0,0,0,0,0,0,0,0,0,0,14499,34945,0,11.940401952096,0,5,1,0
"10","2015014900","浙江省",1,54,4,6,0,5,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,8100,0,0,0,0,0,0,0,0,0,0,0,1100,7000,0,11.9977776812782,0,NA,1,0
"11","2013008987","上海市",0,25,5,2,0,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,12.1479561257945,0,NA,0,0
"12","2015010551","上海市",1,81,7,2,0,4,1,1,1,0,3,2,0,0,0,0,0,1,0,0,0,500500,5e+05,0.999000999000999,0,1,0,0,0,5e+05,0,0,0,500,0,0,11.9854259744146,0,NA,1,0
"13","2013010952","浙江省",1,52,3,2,0,5,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,140000,0,0,0,0,0,0,0,0,0,0,0,10000,50000,80000,10.7227165715672,0,3,0,0
"14","2013007971","上海市",1,70,6,2,0,3,1,1,0,1,3,1,0,0,1,0,0,0,0,0,0,55000,0,0,0,1,0,0,0,0,0,0,0,5000,50000,0,11.9441817689969,0,NA,1,1
"15","2015012356","江苏省",1,63,1,2,0,3,NA,1,1,NA,2,1,0,0,0,0,0,0,0,0,0,3500,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,11.3878496515362,0,NA,1,0
"16","2017000250","浙江省",1,67,2,2,0,6,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,42414,0,0,0,0,0,0,0,0,0,0,0,5000,5000,32414,10.7386487233046,0,NA,1,0
"17","2013008260","上海市",0,70,4,6,0,5,1,0,0,1,2,2,0,0,1,0,0,0,0,0,0,3000,0,0,0,1,0,0,0,0,0,0,0,3000,0,0,11.9117284302048,0,NA,1,0
"18","2017000319","江苏省",1,41,6,2,0,4,0,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,10.9331069697173,0,7777,1,0
"19","201103677","浙江省",1,42,3,2,0,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,31200,0,0,0,0,0,0,0,0,0,0,0,1000,200,30000,10.7372810499218,1,3,0,0
"20","2017000402","上海市",1,81,5,2,0,5,0,NA,NA,1,1,1,0,0,1,1,0,0,0,0,0,95000,60000,0.631578947368421,0.5,1,30000,0,30000,0,0,0,0,5000,30000,0,11.4414831675159,0,NA,1,0
"21","2015012184","江苏省",1,47,3,2,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,500,0,0,9.58465875108751,0,NA,0,0
"22","201102275","上海市",1,43,5,5,0,4,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,78000,3000,0.0384615384615385,0,1,0,0,0,0,0,3000,0,5000,0,70000,12.8207311186658,0,3,1,1
"23","2013008807","上海市",1,51,2,2,0,4,1,NA,0,1,2,0,0,0,0,0,0,0,0,0,0,210000,0,0,0,0,0,0,0,0,0,0,0,10000,2e+05,0,11.2733984344055,0,3,1,0
"24","2013009973","江苏省",1,37,3,2,0,4,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,10000,10000,0,10.2083585454086,0,NA,1,0
"25","2017000509","浙江省",1,53,3,2,2,5,1,NA,NA,1,2,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,200,0,0,11.289781913656,1,NA,0,0
"26","201102618","上海市",1,85,1,2,0,6,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,10.5558127385758,0,NA,1,0
"27","2013008131","上海市",0,43,8,2,0,2,1,1,1,1,4,4,0,0,1,0,0,0,0,0,0,306000,3e+05,0.980392156862745,1,1,3e+05,0,0,0,0,0,0,3000,3000,0,11.7842532826491,0,16,1,0
"28","2015011152","上海市",1,66,3,2,0,5,1,1,0,NA,2,1,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,5000,20000,0,11.3629161976435,0,NA,1,0
"29","2017000617","江苏省",1,82,7,2,0,5,1,NA,NA,1,2,2,0,0,0,0,0,0,0,0,0,132792,0,0,0,0,0,0,0,0,0,0,0,0,0,132792,12.396659430195,0,NA,1,0
"30","201102897","江苏省",1,70,2,2,0,5,NA,0,0,NA,0,2,0,0,0,0,0,0,0,0,0,10400,0,0,0,0,0,0,0,0,0,0,0,400,0,10000,8.81729778386658,0,NA,0,0
"31","2015014263","浙江省",1,59,3,2,0,5,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,10.5976092580923,1,NA,0,0
"32","2015014733","浙江省",1,65,2,2,0,3,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,48922,0,0,0,0,0,0,0,0,0,0,0,14313,34609,0,9.95575408899025,1,NA,1,0
"33","2015010508","上海市",1,75,7,2,0,5,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,12.101267531164,0,NA,1,0
"34","2015010557","上海市",0,24,7,1,0,3,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,11.7035458245789,0,18,1,0
"35","2017000782","浙江省",1,74,2,2,0,5,1,NA,NA,1,2,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,150,0,0,9.21830854162536,1,NA,1,0
"36","2015012343","江苏省",1,75,2,2,0,5,NA,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,33359,0,0,0,0,0,0,0,0,0,0,0,30000,3359,0,9.64806328136865,0,NA,1,0
"37","201103529","浙江省",1,59,2,2,0,6,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,102000,0,0,0,0,0,0,0,0,0,0,0,2000,1e+05,0,10.1326131755279,1,NA,1,0
