"","gender","education level","province","marital status","experience of finance","The level of risk reverse","finance problem 1","finance problem 2","The condition of the answer of financial problems","real estate","fund","stock","bond","internet planning","financial planning","derivative","gold","no RMB asset","pension insurance","medical issurance","business issurance","educational investment"
"1","femal","undergraduate","上海市","unmarried","No","Risk Neutral","No","Yes","one","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","No"
"2","male","senior high","上海市","divorce","No","Risk Reverse","Yes","Yes","two","No","No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"3","male","undergraduate","上海市","unmarried","No","Little Risk Reverse","No","Yes","one","Yes","Yes","No","No","Yes","No","No","Yes","No","Yes","Yes","No","Yes"
"4","femal","senior high","上海市","married","No","Little Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"5","male","junior high","上海市","married","No","Little Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes"
"6","femal","undergraduate","上海市","married","No","Little Risk Preference","Yes","Yes","two","Yes","No","Yes","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes"
"7","femal","special school","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"8","femal","junior high","上海市","married","No","Risk Reverse","No","Yes","one","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes"
"9","male","undergraduate","上海市","married","No","Risk Neutral","No","Yes","one","Yes","No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No"
"10","male","master","上海市","married","Yes","Risk Neutral","No","Yes","one","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No"
"11","femal","primary","上海市","married","No","Risk Reverse","No","Yes","one","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"12","femal","primary","上海市","married","No","Risk Reverse","No","Yes","one","Yes","No","Yes","No","No","Yes","No","No","No","Yes","No","No","No"
"13","femal","college","上海市","married","No","Risk Neutral","No","Yes","one","Yes","No","No","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes"
"14","femal","senior high","上海市","divorce","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"15","male","college","上海市","married","No","Risk Reverse","No","Yes","one","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"16","male","college","上海市","married","No","Little Risk Preference","No","Yes","one","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes"
"17","femal","college","上海市","married","No","Little Risk Reverse","Yes","Yes","two","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"18","femal","junior high","上海市","married","No","Risk Reverse","No","Yes","one","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","Yes"
"19","male","senior high","上海市","unmarried","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"20","femal","undergraduate","上海市","married","No","Little Risk Reverse","No","Yes","one","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"21","femal","college","上海市","unmarried","No","Little Risk Preference","No","Yes","one","Yes","No","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","No"
"22","femal","undergraduate","上海市","married","Yes","Little Risk Reverse","No","Yes","one","No","No","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes"
"23","male","undergraduate","上海市","married","Yes","Risk Neutral","Yes","Yes","two","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes"
"24","male","college","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"25","male","junior high","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","Yes","No","No","No","Yes","No","No","No"
"26","femal","junior high","上海市","married","No","Risk Neutral","No","No","none","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No"
"27","male","college","上海市","unmarried","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"28","femal","undergraduate","上海市","unmarried","Yes","Little Risk Preference","Yes","Yes","two","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"29","male","junior high","上海市","married","No","Risk Reverse","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No"
"30","femal","undergraduate","上海市","married","No","Risk Reverse","No","Yes","one","No","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No"
"31","male","undergraduate","上海市","unmarried","No","Little Risk Reverse","No","Yes","one","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","No"
"32","male","undergraduate","上海市","unmarried","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"33","femal","undergraduate","上海市","married","No","Risk Neutral","No","Yes","one","Yes","No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No"
"34","femal","senior high","上海市","married","No","Risk Neutral","No","Yes","one","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"35","male","junior high","上海市","married","No","Risk Preference","Yes","Yes","two","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","No"
"36","male","senior high","上海市","unmarried","No","Risk Neutral","Yes","No","one","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","Yes"
"37","male","undergraduate","上海市","unmarried","Yes","Little Risk Reverse","Yes","Yes","two","Yes","No","Yes","No","No","Yes","No","No","No","Yes","Yes","No","Yes"
