"","The level of risk reverse","The condition of the answer of financial problems","stock","financial asset","stock assset","financial market","province","gender","education level","marital status","educational investment","experience of finance","real estate","work","finance problem 1","finance problem 2"
"1",2,1,0,0.666666667,0,1,"上海市",1,6,0,0,1,1,0,0,1
"2",4,2,1,1,0.5,1,"上海市",0,3,4,1,1,0,0,1,1
"3",3,1,0,0.8,0,1,"上海市",0,6,0,1,1,1,1,0,1
"4",3,2,0,0,0,0,"上海市",1,3,1,1,1,0,0,1,1
"5",3,2,0,0,0,0,"上海市",0,2,1,1,1,0,0,1,1
"6",1,2,1,0.333333333,1,1,"上海市",1,6,1,1,1,1,0,1,1
"7",4,2,0,0,0,0,"上海市",1,4,1,1,1,1,1,1,1
"8",4,1,0,0.5,0,1,"上海市",1,2,1,1,1,1,1,0,1
"9",2,1,1,0.666666667,0.5,1,"上海市",0,6,1,0,1,1,0,0,1
"10",2,1,1,0.777777778,0.142857143,1,"上海市",0,7,1,0,0,1,0,0,1
"11",4,1,0,1,0,1,"上海市",1,1,1,1,1,0,0,0,1
"12",4,1,1,0.333333333,1,1,"上海市",1,1,1,0,1,1,1,0,1
"13",2,1,0,0,0,1,"上海市",1,5,1,1,1,1,0,0,1
"14",3,2,0,0.5,0,1,"上海市",1,3,4,0,1,1,0,1,1
"15",4,1,0,0,0,1,"上海市",0,5,1,0,1,0,0,0,1
"16",1,1,0,0.5,0,1,"上海市",0,5,1,1,1,1,0,0,1
"17",3,2,0,1,0,1,"上海市",1,5,1,1,1,0,0,1,1
"18",4,1,0,0,0,1,"上海市",1,2,1,1,1,0,1,0,1
"19",4,0,0,0,0,0,"上海市",0,3,0,0,1,0,0,0,0
"20",3,1,1,0.714285714,0.2,1,"上海市",1,6,1,1,1,1,0,0,1
"21",1,1,1,0.666666667,0.5,1,"上海市",1,5,0,0,1,1,0,0,1
"22",3,1,1,1,1,1,"上海市",1,6,1,1,0,0,0,0,1
"23",2,2,1,0.75,0.333333333,1,"上海市",0,6,1,1,0,1,0,1,1
"24",4,2,1,0.666666667,0.5,1,"上海市",0,5,1,1,1,1,0,1,1
"25",4,2,0,0,0,1,"上海市",0,2,1,0,1,1,0,1,1
"26",2,0,1,0.333333333,1,1,"上海市",1,2,1,0,1,1,1,0,0
"27",3,2,0,0,0,0,"上海市",0,5,0,0,1,1,0,1,1
"28",1,2,1,0.818181818,0.111111111,1,"上海市",1,6,0,1,0,1,1,1,1
"29",4,1,0,0,0,0,"上海市",0,2,1,0,1,1,0,0,1
"30",4,1,1,1,1,1,"上海市",1,6,1,0,1,0,0,0,1
"31",3,1,0,0.5,0,1,"上海市",0,6,0,0,1,1,0,0,1
"32",3,2,0,0.5,0,1,"上海市",0,6,0,0,1,1,0,1,1
"33",2,1,1,0.666666667,0.5,1,"上海市",1,6,1,0,1,1,0,0,1
"34",2,1,1,0.5,1,1,"上海市",1,3,1,1,1,1,1,0,1
"35",0,2,1,0.5,1,1,"上海市",0,2,1,0,1,1,1,1,1
"36",2,1,1,0.5,0.5,1,"上海市",0,3,0,1,1,1,1,1,0
"37",3,2,1,0.333333333,1,1,"上海市",0,6,0,1,0,1,1,1,1
"38",4,1,0,0,0,0,"上海市",1,2,1,0,1,0,0,0,1
"39",2,1,0,0.333333333,0,1,"上海市",1,6,1,0,1,1,0,0,1
"40",4,1,0,0,0,0,"上海市",0,3,1,0,1,0,0,0,1
"41",2,1,1,0.5,1,1,"上海市",0,6,1,1,1,1,0,0,1
"42",4,0,1,0.5,1,1,"上海市",1,2,1,1,1,1,0,0,0
"43",0,1,1,0.75,0.333333333,1,"上海市",1,4,1,0,1,1,1,0,1
"44",3,1,1,0.5,0.5,1,"上海市",1,2,1,1,1,1,0,0,1
"45",4,1,0,0,0,0,"上海市",1,1,1,1,1,1,1,0,1
"46",2,2,0,0.5,0,1,"上海市",0,5,1,1,1,1,0,1,1
"47",3,2,0,0.5,0,1,"上海市",0,2,1,1,1,1,0,1,1
"48",4,0,0,0.5,0,1,"上海市",0,6,4,0,1,0,0,0,0
"49",0,0,0,0,0,0,"上海市",0,5,1,0,1,0,0,0,0
"50",3,1,0,0.333333333,0,1,"上海市",1,6,1,1,0,1,0,0,1
"51",4,1,0,1,0,1,"上海市",1,2,1,1,1,0,0,0,1
"52",2,1,1,0.75,0.333333333,1,"上海市",1,3,2,0,0,1,0,0,1
"53",1,1,0,1,0,1,"上海市",0,3,0,0,1,0,0,0,1
"54",0,1,0,0.5,0,1,"上海市",0,3,0,0,1,0,0,0,1
"55",2,1,0,0,0,0,"上海市",1,5,0,0,0,0,0,0,1
"56",2,1,1,1,1,1,"上海市",1,6,1,1,1,0,0,0,1
"57",3,2,1,0.5,0.5,1,"上海市",1,4,1,1,1,1,0,1,1
"58",2,1,0,0,0,0,"上海市",1,3,1,1,1,1,0,0,1
"59",4,1,0,0.5,0,1,"上海市",1,3,1,1,1,1,0,0,1
"60",2,2,0,0.5,0,1,"上海市",1,7,0,1,1,1,0,1,1
"61",4,1,0,0.5,0,1,"上海市",1,4,1,1,1,1,0,0,1
"62",4,2,0,0,0,0,"上海市",0,3,1,0,1,0,1,1,1
"63",4,2,0,0,0,0,"上海市",1,3,1,1,1,1,0,1,1
"64",2,2,0,0.833333333,0,1,"上海市",1,5,0,0,1,1,0,1,1
"65",4,1,1,0.666666667,0.25,1,"上海市",1,5,0,1,0,1,1,0,1
"66",4,2,0,0.333333333,0,1,"上海市",1,4,1,1,1,1,0,1,1
"67",4,1,0,0,0,0,"上海市",1,5,0,0,1,0,0,0,1
