性别,出生年份,文化程度,省,市,县,婚姻状况,个人是否有经管类专业学习经历,家庭总人口,年龄超过65岁的人数,年龄小于16岁的成员人数,家庭其他成员的经管类专业学习经历,投资风险厌恶水平,金融知识题,金融知识1,金融知识题,金融知识2,金融知识题回答情况,参与金融市场,金融市场,买房的费用,风险资产,股票资产占比,金融资产,风险资产占比,房地产,购买基金的花费,基金,购买股票的花费,股票,持有的互联网理财产品金额,互联网理财,金融理财产品的总价值,金融理财,债券总市值,债券,金融衍生品的总市值,金融衍生品,黄金的总市值,黄金,非人民币资产的总市值,非人民币资产,是否工作,工作类型,工作体力负荷程度,日均工作时间,工作场所危害健康的因素,个人年收入,个人年收入的范围,家庭工作人数,家庭年收入的种类,家庭年收入的其他种类,家庭总收入金额,家庭总收入范围,家庭总支出的种类,家庭总支出的其他种类,家庭总支出的金额,家庭总支出的金额范围,债券,期货、期权等金融衍生品,黄金,外币资产,其他，请注明,都没有,机关事业单位退休金/离休金,城镇职工基本养老保险（城职保，一般按月缴纳）,新型农村社会养老保险（新农保，按年缴纳）,城镇居民社会养老保险（城居保，按年缴纳）,城乡统一居民社会养老保险（按年缴纳）,其他，请注明,都没有,养老保险,城镇职工基本医疗保险,城镇居民基本医疗保险,新型农村合作医疗保险,城乡居民基本医疗保险, 公费医疗,以上都没有,医疗保险,商业医疗保险,重大疾病保险,收入保障保险,长期看护保险,商业保险,幼儿园/学前班,小学,中学,大学及以上,教育投资,工资性收入,经营性收入,财产性收入,转移性收入,其他收入,日常消费支出,生产经营支出,投资性支出,教育支出,医疗支出,转移支出,其他支出
1,1992,6,上海市,市辖区,静安区,0,1,3,0,0,2,2,3,0,3,1,1,1,2,400000,2,0,3,0.666666667,1,,0,0,0,30000,1,,0,,0,,0,,0,,0,0,1,1,2,6,60000,,1,1月3日,,,,2001/3/5,,80000,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,0,,,,,0,1,0,1,0,0,1,0,1,0,1,0,0
0,1970,3,上海市,市辖区,静安区,4,1,3,1,0,1,4,2,1,3,1,2,1,2,,2,0.5,2,1,0,,0,200000,1,50000,1,,0,,0,,0,,0,,0,0,1,2,1,6,60000,,1,1月4日,,60000,,1-4-5-6,,60000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0
0,1999,6,上海市,市辖区,崇明区,0,1,3,1,0,2,3,3,0,3,1,1,1,4,500000,4,0,5,0.8,1,30000,1,,0,20000,1,,0,,0,,0,20000,1,,0,1,,,,,,,2,1月2日,,200000,,1-3-4-5,,150000,,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,,,,,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0
1,1978,3,上海市,市辖区,杨浦区,1,1,4,0,1,1,3,2,1,3,1,2,0,0,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,0,4,1,1,6,50000,,2,1月2日,,400000,,1-2-3-4-5,,200000,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0
0,1964,2,上海市,市辖区,虹口区,1,1,6,0,2,2,3,2,1,3,1,2,0,0,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,0,4,1,3,6,30000,,4,1月2日,,120000,,1-2-4-5,,80000,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,0,,,,,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0
1,1973,6,上海市,市辖区,宝山区,1,1,3,0,0,2,1,2,1,3,1,2,1,2,300000,1,1,3,0.333333333,1,,0,100000,1,,0,100000,1,,0,,0,,0,,0,0,1,1,1,3,100000,,1,1,,100000,,2001/4/5,,100000,,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0
1,1951,4,上海市,市辖区,嘉定区,1,1,5,2,0,2,4,2,1,3,1,2,0,0,1000000,0,0,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,1,,,,,,,2,1,,,,1月5日,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,,,,,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
1,1947,2,上海市,市辖区,宝山区,1,1,5,2,0,1,4,3,0,3,1,1,1,1,100000,1,0,2,0.5,1,,0,,0,100000,1,,0,,0,,0,,0,,0,1,,,,,,,2,1,,100000,,1,,60000,,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
0,1986,6,上海市,市辖区,静安区,1,1,3,0,1,1,2,3,0,3,1,1,1,2,600000,2,0.5,3,0.666666667,1,,0,50000,1,10000,1,,0,,0,,0,,0,,0,0,1,1,1,6,100000,,2,1,,200000,,2001/4/5,,180000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,,,,,0,1,0,0,0,0,1,0,0,1,1,0,0
0,1971,7,上海市,市辖区,浦东新区,1,0,3,0,0,2,2,1,0,3,1,1,1,8,2700000,7,0.142857143,9,0.777777778,1,30000,1,120000,1,70000,1,20000,1,,0,,0,270000,1,40000,1,0,1,1,2,6,130000,,3,2001/2/3,,500000,,1-2-3-5,,260000,,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,,,,,0,1,1,1,0,0,1,1,1,0,1,0,0
