"","CPHI.Adjusted"
"1",NA
"2",0
"3",0.162518929497775
"4",0.854415328156067
"5",0.210295408836361
"6",-0.128617377822093
"7",-0.0816780310142672
"8",0.120144311842063
"9",-0.0784716154414953
"10",-0.107630664192365
"11",-0.0229895182246987
"12",-0.0476280489892547
"13",-0.102654154060083
"14",-0.0273989741881145
"15",0.0273989741881145
"16",0.0266682470821613
"17",-0.0266682470821613
"18",0
"19",-0.0845573880280629
"20",0
"21",-0.0298529631496813
"22",0.0298529631496813
"23",-0.0298529631496813
"24",0
"25",-0.062520356981334
"26",0.0317486983145803
"27",-0.133531392624523
"28",0
"29",0.133531392624523
"30",0.0307716586667537
"31",0
"32",-0.0307716586667537
"33",0.0307716586667537
"34",-0.0307716586667537
"35",0.060624621816435
"36",0.162518929497775
"37",0.0487901641694319
"38",-0.0741079721537219
"39",-0.0800427076735365
"40",0.0540672212702759
"41",-0.0540672212702759
"42",0.0273989741881145
"43",0.052643733485422
"44",0.02531780798429
"45",-0.0512932943875506
"46",-0.0266682470821613
"47",-0.0555698511548109
"48",0.0555698511548109
"49",0
"50",-0.0273989741881145
"51",-0.0870113769896297
"52",0
"53",0
"54",0.0298529631496813
"55",0
"56",-0.0298529631496813
"57",0
"58",0
"59",0
"60",-0.095310179804325
"61",0.0645385211375713
"62",0
"63",-0.133531392624523
"64",-0.0363676441708749
"65",0.0363676441708749
"66",0
"67",0
"68",0
"69",0.0350913198112699
"70",0.0666913744986724
"71",0
"72",0
"73",-0.032789822822991
"74",0.032789822822991
"75",0.0317486983145803
"76",-0.0645385211375713
"77",0.032789822822991
"78",0
"79",-0.032789822822991
"80",-0.0689928714869512
"81",0
"82",-0.0363676441708749
"83",0
"84",0
"85",0
"86",0.0363676441708749
"87",-0.0363676441708749
"88",-0.037740327982847
"89",0.037740327982847
"90",-0.037740327982847
"91",0.037740327982847
"92",0.0363676441708749
"93",-0.0363676441708749
"94",0
"95",0
"96",0.0363676441708749
"97",0
"98",0
"99",0
"100",0
"101",0.0350913198112699
"102",-0.0350913198112699
"103",0
"104",-0.0363676441708749
