"","CPHI.Open","CPHI.High","CPHI.Low","CPHI.Close","CPHI.Volume","CPHI.Adjusted"
"1",0.18,0.18,0.17,0.17,160400,0.17
"2",0.17,0.17,0.17,0.17,172500,0.17
"3",0.17,0.2,0.17,0.2,1356000,0.2
"4",0.77,1.45,0.41,0.47,39309300,0.47
"5",0.48,0.59,0.41,0.58,9547500,0.58
"6",0.59,0.66,0.5,0.51,3870700,0.51
"7",0.49,0.56,0.43,0.47,2007100,0.47
"8",0.45,0.55,0.43,0.53,4343300,0.53
"9",0.62,0.62,0.44,0.49,2500700,0.49
"10",0.46,0.49,0.43,0.44,1434900,0.44
"11",0.44,0.46,0.42,0.43,773800,0.43
"12",0.44,0.46,0.38,0.41,1982600,0.41
"13",0.4,0.41,0.33,0.37,1240300,0.37
"14",0.37,0.37,0.31,0.36,995200,0.36
"15",0.36,0.41,0.34,0.37,908200,0.37
"16",0.37,0.4,0.37,0.38,569200,0.38
"17",0.39,0.39,0.36,0.37,531500,0.37
"18",0.36,0.4,0.34,0.37,849300,0.37
"19",0.37,0.38,0.34,0.34,310000,0.34
"20",0.36,0.36,0.32,0.34,372700,0.34
"21",0.34,0.36,0.33,0.33,345600,0.33
"22",0.33,0.36,0.31,0.34,599400,0.34
"23",0.36,0.36,0.32,0.33,272400,0.33
"24",0.31,0.35,0.31,0.33,251900,0.33
"25",0.3,0.33,0.29,0.31,458500,0.31
"26",0.31,0.33,0.28,0.32,800700,0.32
"27",0.32,0.34,0.28,0.28,633600,0.28
"28",0.27,0.29,0.26,0.28,391800,0.28
"29",0.27,0.32,0.27,0.32,1082400,0.32
"30",0.28,0.35,0.28,0.33,856700,0.33
"31",0.35,0.35,0.3,0.33,399200,0.33
"32",0.32,0.35,0.31,0.32,205200,0.32
"33",0.33,0.34,0.32,0.33,186100,0.33
"34",0.35,0.35,0.32,0.32,379100,0.32
"35",0.32,0.35,0.31,0.34,430200,0.34
"36",0.35,0.45,0.33,0.4,3134300,0.4
"37",0.44,0.47,0.4,0.42,2508000,0.42
"38",0.44,0.44,0.38,0.39,1049600,0.39
"39",0.4,0.4,0.34,0.36,710700,0.36
"40",0.34,0.39,0.34,0.38,610100,0.38
"41",0.35,0.39,0.35,0.36,658900,0.36
"42",0.36,0.38,0.36,0.37,300700,0.37
"43",0.37,0.39,0.37,0.39,502900,0.39
"44",0.39,0.43,0.38,0.4,904300,0.4
"45",0.39,0.39,0.36,0.38,497200,0.38
"46",0.38,0.38,0.35,0.37,625400,0.37
"47",0.38,0.38,0.35,0.35,446900,0.35
"48",0.36,0.37,0.31,0.37,352500,0.37
"49",0.38,0.38,0.36,0.37,221500,0.37
"50",0.37,0.37,0.35,0.36,506600,0.36
"51",0.36,0.37,0.33,0.33,427600,0.33
"52",0.36,0.38,0.32,0.33,717500,0.33
"53",0.35,0.35,0.32,0.33,472300,0.33
"54",0.33,0.37,0.33,0.34,586500,0.34
"55",0.35,0.36,0.34,0.34,422800,0.34
"56",0.34,0.35,0.32,0.33,185600,0.33
"57",0.33,0.34,0.33,0.33,172300,0.33
"58",0.33,0.35,0.33,0.33,271900,0.33
"59",0.33,0.34,0.33,0.33,158800,0.33
"60",0.33,0.33,0.3,0.3,300900,0.3
"61",0.31,0.32,0.3,0.32,117700,0.32
"62",0.33,0.33,0.31,0.32,151200,0.32
"63",0.3,0.31,0.25,0.28,646300,0.28
"64",0.28,0.3,0.26,0.27,372500,0.27
"65",0.27,0.3,0.26,0.28,190300,0.28
"66",0.29,0.31,0.27,0.28,318300,0.28
"67",0.29,0.3,0.26,0.28,351400,0.28
"68",0.28,0.3,0.27,0.28,376700,0.28
"69",0.29,0.33,0.27,0.29,1027600,0.29
"70",0.3,0.32,0.28,0.31,651600,0.31
"71",0.33,0.33,0.3,0.31,369300,0.31
"72",0.3,0.32,0.29,0.31,302200,0.31
"73",0.31,0.33,0.29,0.3,259600,0.3
"74",0.29,0.33,0.29,0.31,216900,0.31
"75",0.32,0.35,0.3,0.32,1488500,0.32
"76",0.32,0.32,0.3,0.3,204200,0.3
"77",0.31,0.33,0.3,0.31,299600,0.31
"78",0.31,0.32,0.3,0.31,231900,0.31
"79",0.31,0.31,0.28,0.3,339300,0.3
"80",0.3,0.3,0.27,0.28,364300,0.28
"81",0.28,0.28,0.27,0.28,211800,0.28
"82",0.28,0.28,0.27,0.27,77400,0.27
"83",0.27,0.29,0.26,0.27,419100,0.27
"84",0.28,0.28,0.26,0.27,357800,0.27
"85",0.28,0.29,0.26,0.27,410800,0.27
"86",0.28,0.31,0.26,0.28,1422900,0.28
"87",0.27,0.27,0.27,0.27,159800,0.27
"88",0.27,0.27,0.26,0.26,199400,0.26
"89",0.26,0.28,0.26,0.27,293800,0.27
"90",0.27,0.27,0.26,0.26,153500,0.26
"91",0.29,0.29,0.27,0.27,114900,0.27
"92",0.28,0.28,0.27,0.28,139400,0.28
"93",0.28,0.28,0.26,0.27,295400,0.27
"94",0.27,0.28,0.26,0.27,140500,0.27
"95",0.27,0.27,0.27,0.27,86300,0.27
"96",0.28,0.28,0.27,0.28,78100,0.28
"97",0.29,0.32,0.26,0.28,938000,0.28
"98",0.28,0.28,0.26,0.28,309000,0.28
"99",0.27,0.3,0.27,0.28,176600,0.28
"100",0.27,0.29,0.27,0.28,62900,0.28
"101",0.29,0.29,0.27,0.29,34600,0.29
"102",0.29,0.29,0.27,0.28,156800,0.28
"103",0.28,0.28,0.27,0.28,66100,0.28
"104",0.27,0.28,0.27,0.27,87200,0.27
"105",0.27,0.27,0.27,0.27,121700,0.27
"106",0.27,0.27,0.24,0.26,535600,0.26
