"","000002.SZ.Open","000002.SZ.High","000002.SZ.Low","000002.SZ.Close","000002.SZ.Volume","000002.SZ.Adjusted"
"1",31.450001,32.990002,31.450001,32.560001,68343350,29.057291
"2",32.5,33.779999,32.23,32.330002,64687020,28.852036
"3",32.759998,33.529999,32.099998,33.119999,52908580,29.557047
"4",32.98,35.880001,32.799999,34.759998,84310196,31.020618
"5",35.110001,36.959999,35.110001,35.990002,83078359,32.118301
"6",35.630001,36.110001,34.950001,35.84,47845909,31.984438
"7",35.599998,36.700001,35.5,35.669998,45369591,31.832724
"8",35.549999,35.779999,34.540001,35.130001,39833258,31.350821
"9",35.099998,36.619999,35.09,35.549999,53701333,31.725636
"10",35.84,38,35.610001,37.09,75718609,33.099968
"11",36.5,40.700001,36.400002,40.200001,97846478,35.875401
"12",39.48,40.599998,38.299999,39.77,81219193,35.491661
"13",39.599998,40.639999,38.900002,39.759998,55884840,35.482735
"14",39.849998,41.09,39.25,39.419998,54875823,35.17931
"15",39,39.84,38.509998,39.529999,40652641,35.277477
"16",40,41.509998,39.990002,40.98,64865750,36.571491
"17",40.700001,42.240002,40.459999,41.130001,54262959,36.705353
"18",41.119999,41.119999,38.799999,40.200001,64806457,35.875401
"19",40,40.66,39.119999,40.040001,41006237,35.732613
"20",40.380001,40.560001,38.09,38.57,59786274,34.420753
"21",38,38,36.27,36.360001,90823442,32.448502
"22",36.610001,37.759998,35.619999,37.560001,89814786,33.519405
"23",37.5,38.040001,36.900002,37.5,63542538,33.465862
"24",36.5,37.900002,35.799999,37.380001,59679368,33.358768
"25",36.799999,38.060001,36.310001,36.990002,55263472,33.010723
"26",35.93,36.099998,34.880001,35.82,69983671,31.966589
"27",36.43,36.580002,32.5,32.98,95212968,29.432108
"28",33,33.880001,32.490002,32.75,58080514,29.226852
"29",31.5,31.959999,30.200001,31.27,72494490,27.906067
"30",31.43,32.32,31.309999,31.9,40765431,28.468292
"31",32.279999,33.790001,32.279999,32.73,45466811,29.209002
"32",32.869999,33.32,32.169998,33.169998,27017550,29.601667
"33",34,34.049999,33.330002,33.700001,30237326,30.074652
"34",33.900002,35.099998,33.330002,34.720001,38453890,30.984926
"35",34.66,34.759998,33.110001,34.18,54065501,30.503016
"36",34.200001,34.279999,32.650002,32.900002,50659814,29.360716
"37",32.509998,33.23,31.84,32.700001,50000447,29.182228
"38",32.169998,33.09,32.02,32.41,33606432,28.923426
"39",32,32.73,31.51,32.279999,32283849,28.807411
"40",32.490002,33.150002,32.07,32.18,37335438,28.718172
"41",32.349998,33.709999,32.009998,33.669998,58100806,30.047878
"42",33.439999,33.919998,32.799999,32.900002,38799255,29.360716
"43",33.400002,33.740002,32.849998,33.639999,35102254,30.021105
"44",33.869999,33.91,33.34,33.459999,32510239,29.86047
"45",33.540001,33.68,32.349998,32.619999,60620829,29.110834
"46",32.59,32.84,32.369999,32.48,22092041,28.985897
"47",32.439999,32.950001,32.200001,32.700001,31583300,29.182228
"48",32.5,33.099998,32.41,32.66,25221534,29.146532
