"","CPHI.Open","CPHI.High","CPHI.Low","CPHI.Close","CPHI.Volume","CPHI.Adjusted"
"1",0.31,0.34,0.31,0.31,23300,0.31
"2",0.31,0.35,0.31,0.31,38900,0.31
"3",0.35,0.35,0.31,0.31,30400,0.31
"4",0.32,0.35,0.31,0.31,36000,0.31
"5",0.31,0.34,0.31,0.32,18100,0.32
"6",0.33,0.34,0.32,0.32,2000,0.32
"7",0.32,0.33,0.32,0.32,11400,0.32
"8",0.32,0.33,0.32,0.32,24200,0.32
"9",0.33,0.33,0.31,0.31,20100,0.31
"10",0.31,0.31,0.3,0.3,17400,0.3
"11",0.3,0.3,0.27,0.29,37100,0.29
"12",0.29,0.31,0.29,0.31,4200,0.31
"13",0.31,0.31,0.27,0.31,88600,0.31
"14",0.31,0.31,0.27,0.3,29700,0.3
"15",0.29,0.29,0.28,0.28,4400,0.28
"16",0.28,0.3,0.28,0.28,14900,0.28
"17",0.28,0.33,0.28,0.29,51800,0.29
"18",0.28,0.3,0.28,0.28,8500,0.28
"19",0.3,0.32,0.27,0.3,74600,0.3
"20",0.31,0.31,0.3,0.3,4100,0.3
"21",0.3,0.3,0.27,0.3,21200,0.3
"22",0.27,0.29,0.27,0.28,2700,0.28
"23",0.28,0.29,0.27,0.27,21100,0.27
"24",0.29,0.3,0.27,0.28,86000,0.28
"25",0.28,0.3,0.27,0.3,18700,0.3
"26",0.28,0.3,0.28,0.3,15900,0.3
"27",0.29,0.3,0.28,0.3,9700,0.3
"28",0.27,0.3,0.27,0.29,47400,0.29
"29",0.3,0.34,0.28,0.31,77200,0.31
"30",0.34,0.35,0.34,0.34,40000,0.34
"31",0.34,0.34,0.31,0.34,30500,0.34
"32",0.35,0.35,0.31,0.32,33800,0.32
"33",0.34,0.42,0.33,0.4,266700,0.4
"34",0.42,0.56,0.4,0.41,1057700,0.41
"35",0.42,0.47,0.4,0.42,284400,0.42
"36",0.44,0.44,0.36,0.37,168300,0.37
"37",0.36,0.39,0.35,0.37,131800,0.37
"38",0.4,0.46,0.36,0.41,110900,0.41
"39",0.42,0.43,0.4,0.41,130500,0.41
"40",0.45,0.45,0.4,0.42,45100,0.42
"41",0.44,0.44,0.38,0.42,67100,0.42
"42",0.42,0.44,0.37,0.39,61800,0.39
"43",0.36,0.41,0.36,0.41,88500,0.41
"44",0.4,0.44,0.38,0.42,209300,0.42
"45",0.44,0.44,0.39,0.42,344600,0.42
"46",0.42,0.44,0.39,0.39,223100,0.39
"47",0.4,0.41,0.36,0.37,151400,0.37
"48",0.36,0.41,0.36,0.39,42100,0.39
"49",0.37,0.41,0.36,0.39,29400,0.39
"50",0.38,0.42,0.37,0.41,36200,0.41
"51",0.37,0.43,0.37,0.42,287500,0.42
"52",0.41,0.42,0.38,0.41,126400,0.41
"53",0.4,0.4,0.37,0.4,152800,0.4
"54",0.4,0.4,0.37,0.39,27600,0.39
"55",0.39,0.4,0.37,0.37,80100,0.37
"56",0.37,0.39,0.37,0.39,7700,0.39
"57",0.4,0.4,0.37,0.37,72700,0.37
"58",0.37,0.4,0.33,0.35,91300,0.35
"59",0.39,0.39,0.31,0.37,265400,0.37
"60",0.35,0.36,0.32,0.32,79100,0.32
"61",0.35,0.37,0.32,0.34,47400,0.34
"62",0.35,0.35,0.34,0.34,30100,0.34
"63",0.38,0.38,0.33,0.36,24400,0.36
"64",0.37,0.37,0.32,0.35,73900,0.35
"65",0.34,0.35,0.32,0.32,127200,0.32
"66",0.32,0.35,0.31,0.32,114400,0.32
"67",0.33,0.33,0.27,0.32,70600,0.32
"68",0.32,0.33,0.31,0.31,57000,0.31
"69",0.31,0.33,0.31,0.31,58300,0.31
"70",0.33,0.33,0.31,0.31,7600,0.31
"71",0.31,0.31,0.3,0.31,21600,0.31
"72",0.33,0.33,0.32,0.33,41000,0.33
"73",0.31,0.33,0.31,0.33,65600,0.33
"74",0.35,0.4,0.35,0.37,98300,0.37
"75",0.37,0.39,0.35,0.39,42000,0.39
"76",0.39,0.44,0.38,0.39,358800,0.39
"77",0.42,0.42,0.37,0.39,272300,0.39
"78",0.4,0.4,0.38,0.38,93900,0.38
"79",0.38,0.4,0.38,0.39,107500,0.39
"80",0.4,0.4,0.37,0.38,58600,0.38
"81",0.4,0.4,0.37,0.37,21600,0.37
"82",0.38,0.38,0.35,0.37,57400,0.37
"83",0.36,0.37,0.35,0.35,32500,0.35
"84",0.35,0.39,0.35,0.35,20900,0.35
"85",0.38,0.38,0.35,0.35,36700,0.35
"86",0.35,0.35,0.33,0.34,37600,0.34
"87",0.38,0.38,0.35,0.35,79700,0.35
"88",0.37,0.37,0.35,0.37,45300,0.37
"89",0.37,0.4,0.37,0.39,72500,0.39
"90",0.36,0.37,0.33,0.34,374500,0.34
"91",0.35,0.39,0.34,0.35,69100,0.35
"92",0.35,0.36,0.35,0.35,9300,0.35
"93",0.35,0.35,0.34,0.34,17700,0.34
"94",0.33,0.34,0.32,0.33,66000,0.33
